comment_text,source,date_submitted
The new MCA21 corporate governance framework is excellent. It will greatly improve transparency and accountability for all stakeholders.,public_consultation,2024-01-15
This regulation imposes unreasonable compliance burden on small businesses. The penalties are too harsh and implementation timeline is unrealistic.,industry_feedback,2024-01-16
"The Ministry has released draft amendments covering board composition, audit requirements, and disclosure norms for public review.",official_portal,2024-01-17
I strongly support the digital transformation initiative. Online filing and e-governance will save time and reduce corruption significantly.,public_consultation,2024-01-18
The proposed changes to related party transaction rules are confusing and will create legal uncertainty for companies operating across multiple sectors.,legal_association,2024-01-19
Environmental sustainability reporting requirements are a welcome addition. Companies must be held accountable for their carbon footprint.,ngo_feedback,2024-01-20
Quarterly audit requirements are excessive for micro enterprises. A simplified annual compliance framework would be more appropriate.,msme_association,2024-01-21
The shareholder rights protection clauses are well drafted and will prevent minority shareholder exploitation by promoters.,investor_forum,2024-01-22
Implementation of these regulations without adequate training and infrastructure will lead to widespread non-compliance and litigation.,legal_association,2024-01-23
The consultation process has been transparent and inclusive. The ministry has genuinely considered stakeholder feedback in drafting these amendments.,public_consultation,2024-01-24
