comment_text,source
This policy is a landmark achievement for corporate governance in India. I fully support it.,public_consultation
The digital transformation of MCA21 is excellent. Filing is now fast and transparent.,public_consultation
Outstanding work by the ministry. These reforms will attract foreign investment.,public_consultation
I am very happy with the new shareholder protection clauses. Long overdue.,public_consultation
The simplified compliance process is a relief for honest businesses. Thank you.,public_consultation
This is exactly what India needed. Corporate accountability will improve greatly.,public_consultation
The new audit framework is robust and well thought out. Highly commendable.,public_consultation
Excellent initiative. The online portal is user-friendly and efficient.,public_consultation
I strongly support these amendments. They protect minority shareholders effectively.,public_consultation
The transparency measures are world-class. India is moving in the right direction.,public_consultation
Brilliant policy! ESG reporting requirements will make companies more responsible.,public_consultation
The ministry has done a fantastic job. These regulations are fair and balanced.,public_consultation
I love the new whistleblower protection provisions. Very progressive.,public_consultation
The board composition requirements will bring diversity and better governance.,public_consultation
This is a great step forward. The penalties are proportionate and just.,public_consultation
The consultation process was inclusive and the final policy reflects our feedback.,public_consultation
Wonderful reforms! The digital filing system saves time and reduces corruption.,public_consultation
I am impressed by the thoroughness of these regulations. Well done.,public_consultation
The new related party transaction rules are clear and will prevent abuse.,public_consultation
These amendments will make India a top destination for global investors.,public_consultation
The ministry has listened to stakeholders. This is a balanced and fair policy.,public_consultation
Excellent work. The corporate governance standards are now world-class.,public_consultation
I fully endorse these reforms. They will strengthen the Indian economy.,public_consultation
The new disclosure requirements are comprehensive and necessary.,public_consultation
This policy will reduce corporate fraud significantly. Very welcome.,public_consultation
"The streamlined processes will help businesses focus on growth, not paperwork.",public_consultation
I appreciate the ministry for considering MSME concerns in the final draft.,public_consultation
The new framework is progressive and forward-thinking. Highly supportive.,public_consultation
These regulations strike the right balance between compliance and ease of business.,public_consultation
The digital infrastructure improvements are impressive. Great initiative.,public_consultation
I support this policy wholeheartedly. It will benefit all stakeholders.,public_consultation
The new investor protection measures are strong and effective.,public_consultation
Excellent policy design. The implementation guidelines are clear and practical.,public_consultation
This is a positive development for Indian corporate sector. Well done ministry.,public_consultation
The reforms are timely and necessary. I am optimistic about their impact.,public_consultation
This policy is a disaster for small businesses. The compliance costs are unbearable.,industry_feedback
The ministry has completely ignored industry feedback. Very disappointing.,industry_feedback
These regulations are poorly drafted and full of contradictions.,industry_feedback
The implementation timeline is impossible. No company can comply in 3 months.,industry_feedback
The penalties are draconian and disproportionate. This will harm businesses.,industry_feedback
I strongly oppose these amendments. They will drive companies out of India.,industry_feedback
The compliance burden is astronomical. MSMEs will be forced to shut down.,industry_feedback
This is the worst corporate policy in years. Completely impractical.,industry_feedback
The ministry has failed to understand ground realities. Very frustrating.,industry_feedback
These rules will create massive legal uncertainty and endless litigation.,industry_feedback
The quarterly audit requirements are excessive and unnecessary.,industry_feedback
I am deeply concerned about the impact on startup ecosystem. Very harmful.,industry_feedback
The new regulations are bureaucratic nightmares. Please reconsider.,industry_feedback
The ministry has not consulted industry adequately. Top-down approach.,industry_feedback
"These amendments will increase corruption, not reduce it. Poorly designed.",industry_feedback
The documentation requirements are absurd. No business can manage this.,industry_feedback
I oppose this policy strongly. It punishes honest businesses unfairly.,industry_feedback
The related party transaction rules are confusing and unworkable.,industry_feedback
This will destroy the ease of doing business in India. Very bad policy.,industry_feedback
The penalties for minor violations are completely out of proportion.,industry_feedback
The ministry has created a compliance monster. Businesses will suffer.,industry_feedback
These regulations show no understanding of how businesses actually work.,industry_feedback
I am appalled by the lack of consultation with affected industries.,industry_feedback
The new audit framework is burdensome and adds no real value.,industry_feedback
This policy will push companies to register in other countries. Terrible.,industry_feedback
The implementation costs are prohibitive for medium-sized enterprises.,industry_feedback
These rules are designed by bureaucrats who have never run a business.,industry_feedback
The new disclosure requirements are invasive and unnecessary.,industry_feedback
I strongly disagree with these amendments. They will harm economic growth.,industry_feedback
The ministry has made a serious mistake with this policy. Please withdraw it.,industry_feedback
These regulations are anti-business and anti-growth. Very disappointing.,industry_feedback
The compliance timeline shows complete disregard for business realities.,industry_feedback
I am very unhappy with this policy. It will increase costs for everyone.,industry_feedback
The new framework is overly complex and will confuse even experts.,industry_feedback
This is a step backward for Indian business environment. Very concerning.,industry_feedback
The Ministry of Corporate Affairs has released the draft amendments for public review.,official_portal
The consultation period for the new regulations runs from January to March 2024.,official_portal
"The proposed changes cover board composition, audit requirements, and disclosures.",official_portal
Stakeholders may submit feedback through the official MCA21 portal.,official_portal
The amendments affect companies registered under the Companies Act 2013.,official_portal
"Regional workshops are scheduled in Mumbai, Delhi, Chennai, and Kolkata.",official_portal
The new regulations will come into effect six months after final notification.,official_portal
The ministry has received over 5000 comments during the consultation period.,official_portal
"The draft covers 47 sections including governance, reporting, and audit procedures.",official_portal
Companies with turnover above 500 crore will face additional requirements.,official_portal
The amendments include provisions for digital filing and electronic signatures.,official_portal
The ministry will review all feedback before finalizing the regulations.,official_portal
The new framework aligns with international corporate governance standards.,official_portal
Implementation guidelines will be issued separately after the final notification.,official_portal
